Year,Item,Value
2007,Plums and sloes,2667896
2007,Potatoes,29687250
2007,Pulses nes,5994661
2007,Rapeseed,4956082
2007,"Rice, paddy",118854753
2007,Roots and tubers nes,9994646
2007,Safflower seed,676
2007,Seed cotton,62445900
2007,Sesame seed,1344308
2007,Sorghum,2942730
2007,Soybeans,816
2007,Sugar beet,132444
2007,Sugar cane,39406288
2007,Sunflower seed,8551704
2007,"Walnuts, with shell",790140
2007,Wheat,252513464
2007,"Wool, greasy",1703652
2008,"Almonds, with shell",3965486
2008,Apples,18524604
2008,Apricots,7737711
2008,Bananas,1737582
2008,Barley,900220
2008,Castor oil seed,79484
2008,Dates,27187200
2008,"Eggs, hen, in shell",27575703
2008,Garlic,3317548
2008,Ginger,4750
2008,Grapes,3547549
2008,"Groundnuts, with shell",3249000
2008,Lemons and limes,2048530
2008,Lentils,443399
2008,Linseed,77121
2008,Maize,42397400
2008,"Mangoes, mangosteens, guavas",63419552
2008,"Meat indigenous, goat",49698000
2008,"Meat indigenous, sheep",19000633
2008,"Meat, goat",49698000
2008,"Meat, sheep",19000882
2008,"Melons, other (inc.cantaloupes)",1240369
2008,"Milk, whole fresh buffalo",406837400
2008,"Milk, whole fresh cow",224070000
2008,Millet,6257004
2008,"Onions, dry",19748960
2008,Oranges,26919074
2008,Peaches and nectarines,3012120
2008,Pears,431498
2008,"Peas, dry",1001209
2008,Plums and sloes,2569568
2008,Potatoes,26659500
2008,Pulses nes,5119957
2008,Rapeseed,4179515
2008,"Rice, paddy",149540753
2008,Roots and tubers nes,10091015
2008,Safflower seed,876
2008,Seed cotton,70394000
2008,Sesame seed,1803868
2008,Sorghum,3619000
2008,Soybeans,754
2008,Sugar beet,102240
2008,Sugar cane,46329855
2008,Sunflower seed,15097350
2008,"Walnuts, with shell",763320
2008,Wheat,238720732
2008,"Wool, greasy",1732256
2009,"Almonds, with shell",4237200
2009,Apples,16486200
2009,Apricots,7068579
2009,Bananas,2517104
2009,Barley,1705388
2009,Castor oil seed,16547
2009,Dates,27621932
2009,"Eggs, hen, in shell",30230296
2009,Garlic,7056420
2009,Ginger,11100
2009,Grapes,3068707
2009,"Groundnuts, with shell",2250360
2009,Lemons and limes,2243973
2009,Lentils,456130
2009,Linseed,94712
2009,Maize,58132976
2009,"Mangoes, mangosteens, guavas",70801984
2009,"Meat indigenous, goat",68321810
2009,"Meat indigenous, sheep",20076990
2009,"Meat, goat",68321810
2009,"Meat, sheep",20076990
2009,"Melons, other (inc.cantaloupes)",1309848
2009,"Milk, whole fresh buffalo",437504109
2009,"Milk, whole fresh cow",242507007
2009,Millet,8054750
2009,"Onions, dry",26839575
2009,Oranges,29101800
2009,Peaches and nectarines,2105766
2009,Pears,394489
2009,"Peas, dry",988611
2009,Plums and sloes,2442475
2009,Potatoes,38025126
2009,Pulses nes,5783824
2009,Rapeseed,4684238
2009,"Rice, paddy",154416300
2009,Roots and tubers nes,10447329
2009,Safflower seed,1191
2009,Seed cotton,110183409
2009,Sesame seed,1651728
2009,Sorghum,3898730
2009,Soybeans,994
2009,Sugar beet,154744
2009,Sugar cane,37833321
2009,Sunflower seed,13876071
2009,"Walnuts, with shell",1529760
2009,Wheat,586188903
2009,"Wool, greasy",1830541
2010,"Almonds, with shell",3968042
2010,Apples,25241040
2010,Apricots,6104966
2010,Bananas,2941675
2010,Barley,1610070
2010,Castor oil seed,88784
2010,Dates,29346296
2010,"Eggs, hen, in shell",35115368
2010,Garlic,9156640
2010,Ginger,17250
2010,Grapes,3189281
2010,"Groundnuts, with shell",3288446
2010,Lemons and limes,2443690
2010,Lentils,440109
2010,Linseed,89622
2010,Maize,72299573
2010,"Mangoes, mangosteens, guavas",89479816
2010,"Meat indigenous, goat",110649004
2010,"Meat indigenous, sheep",22319915
2010,"Meat, goat",110649004
2010,"Meat, sheep",22319915
2010,"Melons, other (inc.cantaloupes)",1478263
2010,"Milk, whole fresh buffalo",574630885
2010,"Milk, whole fresh cow",320781198
2010,Millet,10106314
2010,"Onions, dry",32320900
2010,Oranges,32207000
2010,Peaches and nectarines,2208318
2010,Pears,413753
2010,"Peas, dry",1126651
2010,Plums and sloes,2530440
2010,Potatoes,49233588
2010,Pulses nes,8418394
2010,Rapeseed,4869250
